date_pulled,rank,song,artist
11/14/2015,1,Hello,Adele
11/14/2015,2,Hotline Bling,Drake
11/14/2015,3,The Hills,The Weeknd
11/14/2015,4,Sorry,Justin Bieber
11/14/2015,5,What Do You Mean?,Justin Bieber
11/14/2015,6,Stitches,Shawn Mendes
11/14/2015,7,Focus,Ariana Grande
11/14/2015,8,Wildest Dreams,Taylor Swift
11/14/2015,9,679,Fetty Wap
11/14/2015,10,Like I'm Gonna Lose You,Meghan Trainor
11/14/2015,11,Locked Away,R. City
11/14/2015,12,Ex's & Oh's,Elle King
11/14/2015,13,Here,Alessia Cara
11/14/2015,14,Can't Feel My Face,The Weeknd
11/14/2015,15,Watch Me,Silento
11/14/2015,16,Jumpman,Drake & Future
11/14/2015,17,Same Old Love,Selena Gomez
11/14/2015,18,On My Mind,Ellie Goulding
11/14/2015,19,Lean On,Major Lazer & DJ Snake
11/14/2015,20,Renegades,X Ambassadors
11/14/2015,21,Downtown,Macklemore & Ryan Lewis
11/14/2015,22,Hit The Quan,iLoveMemphis
11/14/2015,23,Tennessee Whiskey,Chris Stapleton
11/14/2015,24,Trap Queen,Fetty Wap
11/14/2015,25,Good For You,Selena Gomez
11/14/2015,26,Drag Me Down,One Direction
11/14/2015,27,Antidote,Travi$ Scott
11/14/2015,28,Die A Happy Man,Thomas Rhett
11/14/2015,29,How Deep Is Your Love,Calvin Harris & Disciples
11/14/2015,30,Where Ya At,Future
11/14/2015,31,Cheerleader,OMI
11/14/2015,32,Confident,Demi Lovato
11/14/2015,33,Photograph,Ed Sheeran
11/14/2015,34,See You Again,Wiz Khalifa
11/14/2015,35,My Way,Fetty Wap
11/14/2015,36,White Iverson,Post Malone
11/14/2015,37,Uptown Funk!,Mark Ronson
11/14/2015,38,Shut Up And Dance,WALK THE MOON
11/14/2015,39,Again,Fetty Wap
11/14/2015,40,Fight Song,Rachel Platten
11/14/2015,41,Thinking Out Loud,Ed Sheeran
11/14/2015,42,Break Up In A Small Town,Sam Hunt
11/14/2015,43,Strip It Down,Luke Bryan
11/14/2015,44,Perfect,One Direction
11/14/2015,45,Thriller,Michael Jackson
11/14/2015,46,Where Are U Now,Skrillex & Diplo With Justin Bieber
11/14/2015,47,I'm Comin' Over,Chris Young
11/14/2015,48,Break Up With Him,Old Dominion
11/14/2015,49,Smoke Break,Carrie Underwood
11/14/2015,50,Want To Want Me,Jason Derulo
11/14/2015,51,I'll Show You,Justin Bieber
11/14/2015,52,Back To Back,Drake
11/14/2015,53,Don't,Bryson Tiller
11/14/2015,54,Back Up,DeJ Loaf
11/14/2015,55,Burning House,Cam
11/14/2015,56,No Role Modelz,J. Cole
11/14/2015,57,All Eyes On You,Meek Mill
11/14/2015,58,Come Get Her,Rae Sremmurd
11/14/2015,59,Lay It All On Me,Rudimental
11/14/2015,60,Love Myself,Hailee Steinfeld
11/14/2015,61,Let Me See Ya Girl,Cole Swindell
11/14/2015,62,Nothin' Like You,Dan + Shay
11/14/2015,63,Gonna,Blake Shelton
11/14/2015,64,Say It,Tory Lanez
11/14/2015,65,Anything Goes,Florida Georgia Line
11/14/2015,66,Blase,Ty Dolla $ign
11/14/2015,67,Liquor,Chris Brown
11/14/2015,68,Roses,The Chainsmokers
11/14/2015,69,The Fix,Nelly
11/14/2015,70,Big Rings,Drake & Future
11/14/2015,71,Stressed Out,twenty one pilots
11/14/2015,72,Cool For The Summer,Demi Lovato
11/14/2015,73,Stay A Little Longer,Brothers Osborne
11/14/2015,74,Right Hand,Drake
11/14/2015,75,Save It For A Rainy Day,Kenny Chesney
11/14/2015,76,Hide Away,Daya
11/14/2015,77,Comfortable,K Camp
11/14/2015,78,I Got The Boy,Jana Kramer
11/14/2015,79,Gonna Know We Were Here,Jason Aldean
11/14/2015,80,Diamonds Dancing,Drake & Future
11/14/2015,81,RGF Island,Fetty Wap
11/14/2015,82,Top Of The World,Tim McGraw
11/14/2015,83,"Me, Myself & I",G-Eazy x Bebe Rexha
11/14/2015,84,Levels,Nick Jonas
11/14/2015,85,Cake By The Ocean,DNCE
11/14/2015,86,Exchange,Bryson Tiller
11/14/2015,87,Hold My Hand,Jess Glynne
11/14/2015,88,I Love This Life,LoCash
11/14/2015,89,$ave Dat Money,Lil Dicky
11/14/2015,90,Dibs,Kelsea Ballerini
11/14/2015,91,Ginza,J Balvin
11/14/2015,92,New Americana,Halsey
11/14/2015,93,Play No Games,Big Sean
11/14/2015,94,Scholarships,Drake & Future
11/14/2015,95,Beautiful Drug,Zac Brown Band
11/14/2015,96,Already Callin' You Mine,Parmalee
11/14/2015,97,Jugg,Fetty Wap
11/14/2015,98,Emperor's New Clothes,Panic! At The Disco
11/14/2015,99,Digital Dash,Drake & Future
11/14/2015,100,We Went,Randy Houser
