date_pulled,rank,song,artist
11/14/2015,1,Hello,Adele
11/14/2015,2,Here,Alessia Cara
11/14/2015,3,Like I'm Gonna Lose You,Meghan Trainor
11/14/2015,4,Ex's & Oh's,Elle King
11/14/2015,5,The Hills,The Weeknd
11/14/2015,6,Hotline Bling,Drake
11/14/2015,7,Stitches,Shawn Mendes
11/14/2015,8,Same Old Love,Selena Gomez
11/14/2015,9,Sorry,Justin Bieber
11/14/2015,10,White Iverson,Post Malone
11/14/2015,11,On My Mind,Ellie Goulding
11/14/2015,12,Wildest Dreams,Taylor Swift
11/14/2015,13,Lean On,Major Lazer
11/14/2015,14,Lay It All On Me,Rudimental
11/14/2015,15,679,Fetty Wap
11/14/2015,16,Die A Happy Man,Thomas Rhett
11/14/2015,17,Locked Away,R. City
11/14/2015,18,Antidote,Travi$ Scott
11/14/2015,19,Say It,Tory Lanez
11/14/2015,20,How Deep Is Your Love,Calvin Harris & Disciples
11/14/2015,21,Back Up,DeJ Loaf
11/14/2015,22,Renegades,X Ambassadors
11/14/2015,23,Hide Away,Daya
11/14/2015,24,Hold My Hand,Jess Glynne
11/14/2015,25,Roses,The Chainsmokers
11/14/2015,26,The Fix,Nelly
11/14/2015,27,Confident,Demi Lovato
11/14/2015,28,Downtown,Macklemore & Ryan Lewis
11/14/2015,29,What Do You Mean?,Justin Bieber
11/14/2015,30,Don't,Bryson Tiller
11/14/2015,31,Higher Place,Dimitri Vegas & Like Mike
11/14/2015,32,Stressed Out,Twenty One Pilots
11/14/2015,33,Where Ya At,Future
11/14/2015,34,Blas,Ty Dolla $ign
11/14/2015,35,Focus,Ariana Grande
11/14/2015,36,No Role Modelz,J. Cole
11/14/2015,37,S.O.B.,Nathaniel Rateliff & The Night Sweats
11/14/2015,38,Play No Games,Big Sean
11/14/2015,39,Drag Me Down,One Direction
11/14/2015,40,Burning House,Cam
11/14/2015,41,Forgiveness (El Perdn),Nicky Jam & Enrique Iglesias
11/14/2015,42,Cake By The Ocean,DNCE
11/14/2015,43,Perfect,One Direction
11/14/2015,44,Break Up In A Small Town,Sam Hunt
11/14/2015,45,Photograph,Ed Sheeran
11/14/2015,46,Can't Feel My Face,The Weeknd
11/14/2015,47,Jumpman,Drake & Future
11/14/2015,48,Break Up With Him,Old Dominion
11/14/2015,49,Good For You,Selena Gomez
11/14/2015,50,Sorry,Rick Ross
11/14/2015,51,Hold Each Other,A Great Big World
11/14/2015,52,$ave Dat Money,Lil Dicky
11/14/2015,53,Dessert,Dawin
11/14/2015,54,Get Home,JR Castro
11/14/2015,55,California,Colonel Loud
11/14/2015,56,Again,Fetty Wap
11/14/2015,57,Comfortable,K Camp
11/14/2015,58,Writing's On The Wall,Sam Smith
11/14/2015,59,Something Better,Audien
11/14/2015,60,Adventure Of A Lifetime,Coldplay
11/14/2015,61,First,Cold War Kids
11/14/2015,62,Player,Tinashe
11/14/2015,63,Let It Go,James Bay
11/14/2015,64,Bout 2 Blow,Empire Cast
11/14/2015,65,Stand By You,Rachel Platten
11/14/2015,66,Thinking Out Loud,Ed Sheeran
11/14/2015,67,I'm Comin' Over,Chris Young
11/14/2015,68,Queen's Speech 4,Lady Leshurr
11/14/2015,69,Stay A Little Longer,Brothers Osborne
11/14/2015,70,Zero,Chris Brown
11/14/2015,71,Hit The Quan,IHeartMemphis
11/14/2015,72,"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan
11/14/2015,73,Nobody Has To Know,Kranium
11/14/2015,74,Down In The Dm,Yo Gotti
11/14/2015,75,Planes,Jeremih
11/14/2015,76,Hold Me Up,Conrad Sewell
11/14/2015,77,Someone New,Hozier
11/14/2015,78,New Americana,Halsey
11/14/2015,79,Irresistible,Fall Out Boy
11/14/2015,80,Want To Want Me,Jason Derulo
11/14/2015,81,Nothin' Like You,Dan + Shay
11/14/2015,82,Cheerleader (Felix Jaehn Remix),Omi
11/14/2015,83,You Mine,DJ Khaled
11/14/2015,84,Ginza,J. Balvin
11/14/2015,85,Nothing But Trouble (From The Soundtrack Of The Documentary 808),Lil Wayne & Charlie Puth
11/14/2015,86,Powerful,Major Lazer
11/14/2015,87,Used To Love You,Gwen Stefani
11/14/2015,88,Drink You Away,Justin Timberlake
11/14/2015,89,Can't Sleep Love,Pentatonix
11/14/2015,90,Watch Out,2 Chainz
11/14/2015,91,You Know You Like It,DJ Snake & AlunaGeorge
11/14/2015,92,All Eyes On You,Meek Mill
11/14/2015,93,Good To Be Alive (Hallelujah),Andy Grammer
11/14/2015,94,Back To Back,Drake
11/14/2015,95,2 Heads,Coleman Hell
11/14/2015,96,I Got The Boy,Jana Kramer
11/14/2015,97,We Went,Randy Houser
11/14/2015,98,My House,Flo Rida
11/14/2015,99,Beautiful Drug,Zac Brown Band
11/14/2015,100,Fight Song,Rachel Platten
