date_pulled,rank,song,artist
11/14/2015,93,FourFiveSeconds,Rihanna
11/14/2015,94,Watch Me,Silento
11/14/2015,95,Angels,Chance The Rapper
11/14/2015,96,Can I,Drake
11/14/2015,97,Love Me Like You Do,Ellie Goulding
11/14/2015,98,Trust,Justin Bieber
11/14/2015,99,Drowning Shadows,Sam Smith
11/14/2015,100,GOD,Young Jeezy
11/14/2015,101,Alive,Sia
11/14/2015,102,Player,Tinashe
11/14/2015,103,Want To Want Me,Jason Derulo
11/14/2015,104,100,Game
11/14/2015,105,The End,Little Mix
11/14/2015,106,Blackstar,David Bowie
11/14/2015,107,Back To Back Freestyle,Drake
11/14/2015,108,Break A Sweat,Becky G
11/14/2015,109,Bitch Better Have My Money,Rihanna
11/14/2015,110,Pipe It Up,Migos
11/14/2015,111,Stone Cold,Demi Lovato
11/14/2015,112,Sugar,Maroon 5
11/14/2015,113,Love Me Like You,Little Mix
11/14/2015,114,Downtown,Macklemore & Ryan Lewis
11/14/2015,115,Blasé,Ty Dolla $ign
11/14/2015,116,Solid,Ty Dolla $ign
11/14/2015,117,Energy,Drake
11/14/2015,118,Ghost Town,Adam Lambert
11/14/2015,119,Check,Young Thug
11/14/2015,120,Sweet Life,Young Jeezy
11/14/2015,121,March Madness,Future
11/14/2015,122,Ex's & Oh's,Elle King
11/14/2015,123,Blue,Troye Sivan
11/14/2015,124,Bird Set Free,Sia
11/14/2015,125,Unbreakable,Janet Jackson
11/14/2015,126,Like Woah,Logic
11/14/2015,127,Mess Around,Cage the Elephant
11/14/2015,128,Bang My Head,David Guetta
11/14/2015,129,Dessert,Dawin
11/14/2015,130,$ave Dat Money,Lil Dicky
11/14/2015,131,All In It,Justin Bieber
11/14/2015,132,Love Myself,Hailee Steinfeld
11/14/2015,133,Earned It,The Weeknd
11/14/2015,134,Planes,Jeremih
11/14/2015,135,Cake By the Ocean,DNCE
11/14/2015,136,Cool For The Summer,Demi Lovato
11/14/2015,137,Flex,Rich Homie Quan
11/14/2015,138,Tennessee Whiskey,Chris Stapleton
11/14/2015,139,Again,Fetty Wap
11/14/2015,140,Till It Happens To You,Lady GaGa
