date_pulled,rank,song,artist
11/14/2015,1,No Sense,Justin Bieber
11/14/2015,2,Mark My Words,Justin Bieber
11/14/2015,3,Sorry,Justin Bieber
11/14/2015,4,Love Yourself,Justin Bieber
11/14/2015,5,What Do You Mean?,Justin Bieber
11/14/2015,6,The Feeling,Justin Bieber
11/14/2015,7,No Pressure,Justin Bieber
11/14/2015,8,Company,Justin Bieber
11/14/2015,9,We Are,Justin Bieber
11/14/2015,10,A.M.,One Direction
11/14/2015,11,Life Is Worth Living,Justin Bieber
11/14/2015,12,Children,Justin Bieber
11/14/2015,13,Safety Pin,5 Seconds Of Summer
11/14/2015,14,The Girl Who Cried Wolf,5 Seconds Of Summer
11/14/2015,15,Hello,Adele
11/14/2015,16,WTF,Missy Elliott
11/14/2015,17,Victorious,Panic! At the Disco
11/14/2015,18,I'll Show You,Justin Bieber
11/14/2015,19,Church In These Streets,Young Jeezy
11/14/2015,20,Hotline Bling,Drake
11/14/2015,21,If I Could Fly,One Direction
11/14/2015,22,History,One Direction
11/14/2015,23,Perfect,One Direction
11/14/2015,24,What A Feeling,One Direction
11/14/2015,25,Liquor,Chris Brown
11/14/2015,26,18,One Direction
11/14/2015,27,Focus,Ariana Grande
11/14/2015,28,Here,Alessia Cara
11/14/2015,29,Olivia,One Direction
11/14/2015,30,679,Fetty Wap
11/14/2015,31,Untouchable,Pusha T
11/14/2015,32,I'm Comin' Over,Chris Young
11/14/2015,33,Back To Sleep,Chris Brown
11/14/2015,34,Stitches,Shawn Mendes
11/14/2015,35,"Love You, Goodbye",One Direction
11/14/2015,36,Black Magic,Little Mix
11/14/2015,37,Same Old Love,Selena Gomez
11/14/2015,38,Never Enough,One Direction
11/14/2015,39,Sorry,Rick Ross
11/14/2015,40,Hey Everybody!,5 Seconds Of Summer
11/14/2015,41,Temporary Fix,One Direction
11/14/2015,42,Drag Me Down,One Direction
11/14/2015,43,Song Cry,August Alsina
11/14/2015,44,End of the Day,One Direction
11/14/2015,45,Hey Angel,One Direction
11/14/2015,46,Wolves,One Direction
11/14/2015,47,Infinity,One Direction
11/14/2015,48,Wake Up,The Vamps
11/14/2015,49,Confident,Demi Lovato
11/14/2015,50,Where Ya At,Future
11/14/2015,51,Secret Love Song,Little Mix
11/14/2015,52,Youth,Troye Sivan
11/14/2015,53,Say It,Tory Lanez
11/14/2015,54,Long Way Down,One Direction
11/14/2015,55,Wildest Dreams,Taylor Swift
11/14/2015,56,The Hills,The Weeknd
11/14/2015,57,Writings On The Wall,Sam Smith
11/14/2015,58,Worth It,Fifth Harmony
11/14/2015,59,Blow A Bag,Future
11/14/2015,60,Lean On,Major Lazer
11/14/2015,61,Antidote,Travi$ Scott
11/14/2015,62,Home,One Direction
11/14/2015,63,Locked Away,R. City
11/14/2015,64,Kill the Lights,Luke Bryan
11/14/2015,65,Another Lonely Night,Adam Lambert
11/14/2015,66,Four Five Seconds Cover,One Direction
11/14/2015,67,Adventure of a Lifetime,Coldplay
11/14/2015,68,Really,Game
11/14/2015,69,Can't Feel My Face,The Weeknd
11/14/2015,70,Uptown Funk,Mark Ronson
11/14/2015,71,Walking In The Wind,One Direction
11/14/2015,72,Model,Before You Exit
11/14/2015,73,Exchange,Bryson Tiller
11/14/2015,74,On My Mind,Ellie Goulding
11/14/2015,75,Big Rings,Drake
11/14/2015,76,Fight Song,Rachel Platten
11/14/2015,77,Bitch Dab,Migos
11/14/2015,78,Magnets,Disclosure
11/14/2015,79,Revival,Selena Gomez
11/14/2015,80,Gold Bottles,Young Jeezy
11/14/2015,81,One Call Away,Charlie Puth
11/14/2015,82,See You Again,Wiz Khalifa
11/14/2015,83,Good For You,Selena Gomez
11/14/2015,84,Renegades,X Ambassadors
11/14/2015,85,OMG,Little Mix
11/14/2015,86,How Deep Is Your Love,Calvin Harris
11/14/2015,87,Die a Happy Man,Thomas Rhett
11/14/2015,88,Catch Fire,5 Seconds Of Summer
11/14/2015,89,Jumpman,Drake
11/14/2015,90,Ginza,J Balvin
11/14/2015,91,Traveller,Chris Stapleton
11/14/2015,92,Bad Blood,Taylor Swift
