date_pulled,rank,song,artist
11/14/2015,1,Hello,Adele
11/14/2015,2,Sorry,Justin Bieber
11/14/2015,3,Higher Place,Dimitri Vegas & Like Mike
11/14/2015,4,Focus,Ariana Grande
11/14/2015,5,Perfect,One Direction
11/14/2015,6,Adventure Of A Lifetime,Coldplay
11/14/2015,7,Down In The Dm,Yo Gotti
11/14/2015,8,You Mine,DJ Khaled
11/14/2015,9,Used To Love You,Gwen Stefani
11/14/2015,10,You Broke Love,Empire Cast
11/14/2015,11,Gold Slugs,DJ Khaled
11/14/2015,12,Middle,DJ Snake
11/14/2015,13,Thank God For Girls,Weezer
11/14/2015,14,Runnin',Empire Cast
11/14/2015,15,"Me, Myself & I",G-Eazy
11/14/2015,16,Break On Me,Keith Urban
11/14/2015,17,Better When I'm Dancin',Meghan Trainor
11/14/2015,18,Bang My Head,David Guetta
11/14/2015,19,She Belongs To The Game,Troy Ave
11/14/2015,20,Sweet Life,Jeezy
